INFO 2024-09-22 18:54:10,608 autoreload Watching for file changes with StatReloader
DEBUG 2024-09-22 18:54:10,608 autoreload Waiting for apps ready_event.
DEBUG 2024-09-22 18:54:11,248 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-09-22 18:54:11,298 autoreload Watching dir C:\Users\HP\AppData\Local\Programs\Python\Python311\Lib\site-packages\allauth\templates with glob **/*.
DEBUG 2024-09-22 18:54:11,298 autoreload Watching dir C:\Users\HP\AppData\Local\Programs\Python\Python311\Lib\site-packages\allauth\socialaccount\providers\facebook\templates with glob **/*.
DEBUG 2024-09-22 18:54:11,298 autoreload Watching dir C:\Users\HP\AppData\Local\Programs\Python\Python311\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2024-09-22 18:54:11,298 autoreload Watching dir C:\Users\HP\AppData\Local\Programs\Python\Python311\Lib\site-packages\django_filters\templates with glob **/*.
DEBUG 2024-09-22 18:54:11,298 autoreload Watching dir C:\Users\HP\AppData\Local\Programs\Python\Python311\Lib\site-packages\cloudinary\templates with glob **/*.
DEBUG 2024-09-22 18:54:11,298 autoreload Watching dir C:\Users\HP\AppData\Local\Programs\Python\Python311\Lib\site-packages\drf_yasg\templates with glob **/*.
DEBUG 2024-09-22 18:54:11,298 autoreload Watching dir D:\fdd\databaseSQL3\locale with glob **/*.mo.
DEBUG 2024-09-22 18:54:11,298 autoreload Watching dir C:\Users\HP\AppData\Local\Programs\Python\Python311\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2024-09-22 18:54:11,308 autoreload Watching dir C:\Users\HP\AppData\Local\Programs\Python\Python311\Lib\site-packages\rest_framework_simplejwt\locale with glob **/*.mo.
DEBUG 2024-09-22 18:54:11,308 autoreload Watching dir C:\Users\HP\AppData\Local\Programs\Python\Python311\Lib\site-packages\django_filters\locale with glob **/*.mo.
DEBUG 2024-09-22 18:54:11,308 autoreload Watching dir C:\Users\HP\AppData\Local\Programs\Python\Python311\Lib\site-packages\locale with glob **/*.mo.
DEBUG 2024-09-22 18:54:11,308 autoreload Watching dir C:\Users\HP\AppData\Local\Programs\Python\Python311\Lib\site-packages\drf_yasg\locale with glob **/*.mo.
DEBUG 2024-09-22 18:54:11,308 autoreload Watching dir C:\Users\HP\AppData\Local\Programs\Python\Python311\Lib\site-packages\cloudinary\locale with glob **/*.mo.
DEBUG 2024-09-22 18:54:11,308 autoreload Watching dir C:\Users\HP\AppData\Local\Programs\Python\Python311\Lib\site-packages\cloudinary_storage\locale with glob **/*.mo.
DEBUG 2024-09-22 18:54:11,308 autoreload Watching dir C:\Users\HP\AppData\Local\Programs\Python\Python311\Lib\site-packages\corsheaders\locale with glob **/*.mo.
DEBUG 2024-09-22 18:54:11,308 autoreload Watching dir C:\Users\HP\AppData\Local\Programs\Python\Python311\Lib\site-packages\rest_framework\authtoken\locale with glob **/*.mo.
DEBUG 2024-09-22 18:54:11,308 autoreload Watching dir C:\Users\HP\AppData\Local\Programs\Python\Python311\Lib\site-packages\dj_rest_auth\locale with glob **/*.mo.
DEBUG 2024-09-22 18:54:11,308 autoreload Watching dir C:\Users\HP\AppData\Local\Programs\Python\Python311\Lib\site-packages\allauth\locale with glob **/*.mo.
DEBUG 2024-09-22 18:54:11,308 autoreload Watching dir C:\Users\HP\AppData\Local\Programs\Python\Python311\Lib\site-packages\allauth\account\locale with glob **/*.mo.
DEBUG 2024-09-22 18:54:11,308 autoreload Watching dir C:\Users\HP\AppData\Local\Programs\Python\Python311\Lib\site-packages\dj_rest_auth\registration\locale with glob **/*.mo.
DEBUG 2024-09-22 18:54:11,308 autoreload Watching dir C:\Users\HP\AppData\Local\Programs\Python\Python311\Lib\site-packages\allauth\socialaccount\locale with glob **/*.mo.
DEBUG 2024-09-22 18:54:11,308 autoreload Watching dir C:\Users\HP\AppData\Local\Programs\Python\Python311\Lib\site-packages\allauth\socialaccount\providers\facebook\locale with glob **/*.mo.
DEBUG 2024-09-22 18:54:11,308 autoreload Watching dir C:\Users\HP\AppData\Local\Programs\Python\Python311\Lib\site-packages\allauth\socialaccount\providers\twitter\locale with glob **/*.mo.
DEBUG 2024-09-22 18:54:11,312 autoreload Watching dir D:\fdd\databaseSQL3\product\locale with glob **/*.mo.
DEBUG 2024-09-22 18:54:11,312 autoreload Watching dir D:\fdd\databaseSQL3\users\locale with glob **/*.mo.
DEBUG 2024-09-22 18:54:11,312 autoreload Watching dir D:\fdd\databaseSQL3\cart\locale with glob **/*.mo.
DEBUG 2024-09-22 18:54:11,504 utils (0.015) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-09-22 18:54:11,508 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-09-22 18:54:11,601 autoreload File C:\Users\HP\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\contrib\contenttypes\management\__init__.py first seen with mtime 1725789989.5393975
DEBUG 2024-09-22 18:54:11,608 autoreload File C:\Users\HP\AppData\Local\Programs\Python\Python311\Lib\site-packages\allauth\socialaccount\app_settings.py first seen with mtime 1725783105.2784803
DEBUG 2024-09-22 18:54:11,608 autoreload File C:\Users\HP\AppData\Local\Programs\Python\Python311\Lib\site-packages\itypes.py first seen with mtime 1725783050.659577
DEBUG 2024-09-22 18:54:11,608 autoreload File C:\Users\HP\AppData\Local\Programs\Python\Python311\Lib\site-packages\sqlparse\utils.py first seen with mtime 1725783052.5963924
DEBUG 2024-09-22 18:54:11,608 autoreload File C:\Users\HP\AppData\Local\Programs\Python\Python311\Lib\site-packages\setuptools\_vendor\more_itertools\more.py first seen with mtime 1725694275.986073
DEBUG 2024-09-22 18:54:11,608 autoreload File C:\Users\HP\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\core\files\move.py first seen with mtime 1725789991.4252381
DEBUG 2024-09-22 18:54:11,608 autoreload File C:\Users\HP\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\contrib\messages\constants.py first seen with mtime 1725789990.4179306
DEBUG 2024-09-22 18:54:11,608 autoreload File C:\Users\HP\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\db\models\enums.py first seen with mtime 1725789991.564434
DEBUG 2024-09-22 18:54:11,608 autoreload File C:\Users\HP\AppData\Local\Programs\Python\Python311\Lib\site-packages\cloudinary\uploader.py first seen with mtime 1725783091.1138186
DEBUG 2024-09-22 18:54:11,608 autoreload File C:\Users\HP\AppData\Local\Programs\Python\Python311\Lib\site-packages\jinja2\defaults.py first seen with mtime 1725783075.3630846
DEBUG 2024-09-22 18:54:11,608 autoreload File C:\Users\HP\AppData\Local\Programs\Python\Python311\Lib\heapq.py first seen with mtime 1692867550.0
DEBUG 2024-09-22 18:54:11,608 autoreload File C:\Users\HP\AppData\Local\Programs\Python\Python311\Lib\site-packages\inflection\__init__.py first seen with mtime 1725783066.9142523
DEBUG 2024-09-22 18:54:11,608 autoreload File C:\Users\HP\AppData\Local\Programs\Python\Python311\Lib\importlib\abc.py first seen with mtime 1692867552.0
DEBUG 2024-09-22 18:54:11,608 autoreload File C:\Users\HP\AppData\Local\Programs\Python\Python311\Lib\site-packages\urllib3\util\util.py first seen with mtime 1725783051.2602413
DEBUG 2024-09-22 18:54:11,608 autoreload File C:\Users\HP\AppData\Local\Programs\Python\Python311\Lib\site-packages\attr\validators.py first seen with mtime 1725783067.7789152
DEBUG 2024-09-22 18:54:11,608 autoreload File C:\Users\HP\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\contrib\staticfiles\apps.py first seen with mtime 1725789991.3746126
DEBUG 2024-09-22 18:54:11,608 autoreload File C:\Users\HP\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\core\checks\templates.py first seen with mtime 1725789991.4147103
DEBUG 2024-09-22 18:54:11,608 autoreload File C:\Users\HP\AppData\Local\Programs\Python\Python311\Lib\site-packages\attr\_funcs.py first seen with mtime 1725783067.7641728
DEBUG 2024-09-22 18:54:11,608 autoreload File C:\Users\HP\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\views\decorators\csrf.py first seen with mtime 1725789991.8152044
DEBUG 2024-09-22 18:54:11,608 autoreload File C:\Users\HP\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\db\models\constraints.py first seen with mtime 1725789991.5619197
